Date,Close,quadratico,x,y,,x,y,linear
2013+AC0-05+AC0-13,26.25,,0,31.6433162106,,0,32.3944553676,
2013+AC0-05+AC0-20,24.309999,,1,32.204221392,,1,32.9397118166,
2013+AC0-05+AC0-27,24.35,,2,32.765017523,,2,33.4849682656,
2013+AC0-06+AC0-03,23.290001,,3,33.3257046036,,3,34.0302247146,
2013+AC0-06+AC0-10,23.629999,,4,33.8862826338,,4,34.5754811636,
2013+AC0-06+AC0-17,24.530001,,5,34.4467516136,,5,35.1207376126,
2013+AC0-06+AC0-24,24.879999,,6,35.007111543,,6,35.6659940616,
2013+AC0-07+AC0-01,24.370001,,7,35.567362422,,7,36.2112505106,
2013+AC0-07+AC0-08,25.91,,8,36.1275042506,,8,36.7565069596,
2013+AC0-07+AC0-15,25.879999,,9,36.6875370288,,9,37.3017634086,
2013+AC0-07+AC0-22,34.009998,,10,37.2474607566,,10,37.8470198576,
2013+AC0-07+AC0-29,38.049999,,11,37.807275434,,11,38.3922763066,
2013+AC0-08+AC0-05,38.5,,12,38.366981061,,12,38.9375327556,
2013+AC0-08+AC0-12,37.080002,,13,38.9265776376,,13,39.4827892046,
2013+AC0-08+AC0-19,40.549999,,14,39.4860651638,,14,40.0280456536,
2013+AC0-08+AC0-26,41.290001,,15,40.0454436396,,15,40.5733021026,
2013+AC0-09+AC0-02,43.950001,,16,40.604713065,,16,41.1185585516,
2013+AC0-09+AC0-09,44.310001,,17,41.16387344,,17,41.6638150006,
2013+AC0-09+AC0-16,47.490002,,18,41.7229247646,,18,42.2090714496,
2013+AC0-09+AC0-23,51.240002,,19,42.2818670388,,19,42.7543278986,
2013+AC0-09+AC0-30,51.040001,,20,42.8407002626,,20,43.2995843476,
2013+AC0-10+AC0-07,49.110001,,21,43.399424436,,21,43.8448407966,
2013+AC0-10+AC0-14,54.220001,,22,43.958039559,,22,44.3900972456,
2013+AC0-10+AC0-21,51.950001,,23,44.5165456316,,23,44.9353536946,
2013+AC0-10+AC0-28,49.75,,24,45.0749426538,,24,45.4806101436,
2013+AC0-11+AC0-04,47.529999,,25,45.6332306256,,25,46.0258665926,
2013+AC0-11+AC0-11,49.009998,,26,46.191409547,,26,46.5711230416,
2013+AC0-11+AC0-18,46.23,,27,46.749479418,,27,47.1163794906,
2013+AC0-11+AC0-25,47.009998,,28,47.3074402386,,28,47.6616359396,
2013+AC0-12+AC0-02,47.939999,,29,47.8652920088,,29,48.2068923886,
2013+AC0-12+AC0-09,53.32,,30,48.4230347286,,30,48.7521488376,
2013+AC0-12+AC0-16,55.119999,,31,48.980668398,,31,49.2974052866,
2013+AC0-12+AC0-23,55.439999,,32,49.538193017,,32,49.8426617356,
2013+AC0-12+AC0-30,54.560001,,33,50.0956085856,,33,50.3879181846,
2014+AC0-01+AC0-06,57.939999,,34,50.6529151038,,34,50.9331746336,
2014+AC0-01+AC0-13,56.299999,,35,51.2101125716,,35,51.4784310826,
2014+AC0-01+AC0-20,54.450001,,36,51.767200989,,36,52.0236875316,
2014+AC0-01+AC0-27,62.57,,37,52.324180356,,37,52.5689439806,
2014+AC0-02+AC0-03,64.32,,38,52.8810506726,,38,53.1142004296,
2014+AC0-02+AC0-10,67.089996,,39,53.4378119388,,39,53.6594568786,
2014+AC0-02+AC0-17,68.589996,,40,53.9944641546,,40,54.2047133276,
2014+AC0-02+AC0-24,68.459999,,41,54.55100732,,41,54.7499697766,
2014+AC0-03+AC0-03,69.800003,,42,55.107441435,,42,55.2952262256,
2014+AC0-03+AC0-10,67.720001,,43,55.6637664996,,43,55.8404826746,
2014+AC0-03+AC0-17,67.239998,,44,56.2199825138,,44,56.3857391236,
2014+AC0-03+AC0-24,60.009998,,45,56.7760894776,,45,56.9309955726,
2014+AC0-03+AC0-31,56.75,,46,57.332087391,,46,57.4762520216,
2014+AC0-04+AC0-07,58.529999,,47,57.887976254,,47,58.0215084706,
2014+AC0-04+AC0-14,58.939999,,48,58.4437560666,,48,58.5667649196,
2014+AC0-04+AC0-21,57.709999,,49,58.9994268288,,49,59.1120213686,
2014+AC0-04+AC0-28,60.459999,,50,59.5549885406,,50,59.6572778176,
2014+AC0-05+AC0-05,57.240002,,51,60.110441202,,51,60.2025342666,
2014+AC0-05+AC0-12,58.02,,52,60.665784813,,52,60.7477907156,
2014+AC0-05+AC0-19,61.349998,,53,61.2210193736,,53,61.2930471646,
2014+AC0-05+AC0-26,63.299999,,54,61.7761448838,,54,61.8383036136,
2014+AC0-06+AC0-02,62.5,,55,62.3311613436,,55,62.3835600626,
2014+AC0-06+AC0-09,64.5,,56,62.886068753,,56,62.9288165116,
2014+AC0-06+AC0-16,64.5,,57,63.440867112,,57,63.4740729606,
2014+AC0-06+AC0-23,67.599998,,58,63.9955564206,,58,64.0193294096,
2014+AC0-06+AC0-30,66.290001,,59,64.5501366788,,59,64.5645858586,
2014+AC0-07+AC0-07,66.339996,,60,65.1046078866,,60,65.1098423076,
2014+AC0-07+AC0-14,68.419998,,61,65.658970044,,61,65.6550987566,
2014+AC0-07+AC0-21,75.190002,,62,66.213223151,,62,66.2003552056,
2014+AC0-07+AC0-28,72.360001,,63,66.7673672076,,63,66.7456116546,
2014+AC0-08+AC0-04,73.059998,,64,67.3214022138,,64,67.2908681036,
2014+AC0-08+AC0-11,73.629997,,65,67.8753281696,,65,67.8361245526,
2014+AC0-08+AC0-18,74.57,,66,68.429145075,,66,68.3813810016,
2014+AC0-08+AC0-25,74.82,,67,68.98285293,,67,68.9266374506,
2014+AC0-09+AC0-01,77.260002,,68,69.5364517346,,68,69.4718938996,
2014+AC0-09+AC0-08,77.480003,,69,70.0899414888,,69,70.0171503486,
2014+AC0-09+AC0-15,77.910004,,70,70.6433221926,,70,70.5624067976,
2014+AC0-09+AC0-22,78.790001,,71,71.196593846,,71,71.1076632466,
2014+AC0-09+AC0-29,77.440002,,72,71.749756449,,72,71.6529196956,
2014+AC0-10+AC0-06,72.910004,,73,72.3028100016,,73,72.1981761446,
2014+AC0-10+AC0-13,75.949997,,74,72.8557545038,,74,72.7434325936,
2014+AC0-10+AC0-20,80.669998,,75,73.4085899556,,75,73.2886890426,
2014+AC0-10+AC0-27,74.989998,,76,73.961316357,,76,73.8339454916,
2014+AC0-11+AC0-03,75.599998,,77,74.513933708,,77,74.3792019406,
2014+AC0-11+AC0-10,74.879997,,78,75.0664420086,,78,74.9244583896,
2014+AC0-11+AC0-17,73.75,,79,75.6188412588,,79,75.4697148386,
2014+AC0-11+AC0-24,77.699997,,80,76.1711314586,,80,76.0149712876,
2014+AC0-12+AC0-01,76.360001,,81,76.723312608,,81,76.5602277366,
2014+AC0-12+AC0-08,77.830002,,82,77.275384707,,82,77.1054841856,
2014+AC0-12+AC0-15,79.879997,,83,77.8273477556,,83,77.6507406346,
2014+AC0-12+AC0-22,80.779999,,84,78.3792017538,,84,78.1959970836,
2014+AC0-12+AC0-29,78.449997,,85,78.9309467016,,85,78.7412535326,
2015+AC0-01+AC0-05,77.739998,,86,79.482582599,,86,79.2865099816,
2015+AC0-01+AC0-12,75.18,,87,80.034109446,,87,79.8317664306,
2015+AC0-01+AC0-19,77.830002,,88,80.5855272426,,88,80.3770228796,
2015+AC0-01+AC0-26,75.910004,,89,81.1368359888,,89,80.9222793286,
2015+AC0-02+AC0-02,74.470001,,90,81.6880356846,,90,81.4675357776,
2015+AC0-02+AC0-09,75.739998,,91,82.23912633,,91,82.0127922266,
2015+AC0-02+AC0-16,79.900002,,92,82.790107925,,92,82.5580486756,
2015+AC0-02+AC0-23,78.970001,,93,83.3409804696,,93,83.1033051246,
2015+AC0-03+AC0-02,80.010002,,94,83.8917439638,,94,83.6485615736,
2015+AC0-03+AC0-09,78.050003,,95,84.4423984076,,95,84.1938180226,
2015+AC0-03+AC0-16,83.800003,,96,84.992943801,,96,84.7390744716,
2015+AC0-03+AC0-23,83.300003,,97,85.543380144,,97,85.2843309206,
2015+AC0-03+AC0-30,81.559998,,98,86.0937074366,,98,85.8295873696,
2015+AC0-04+AC0-06,82.040001,,99,86.6439256788,,99,86.3748438186,
2015+AC0-04+AC0-13,80.779999,,100,87.1940348706,,100,86.9201002676,
2015+AC0-04+AC0-20,81.529999,,101,87.744035012,,101,87.4653567166,
2015+AC0-04+AC0-27,78.989998,,102,88.293926103,,102,88.0106131656,
2015+AC0-05+AC0-04,78.510002,,103,88.8437081436,,103,88.5558696146,
2015+AC0-05+AC0-11,80.419998,,104,89.3933811338,,104,89.1011260636,
2015+AC0-05+AC0-18,80.540001,,105,89.9429450736,,105,89.6463825126,
2015+AC0-05+AC0-25,79.190002,,106,90.492399963,,106,90.1916389616,
2015+AC0-06+AC0-01,82.139999,,107,91.041745802,,107,90.7368954106,
2015+AC0-06+AC0-08,81.529999,,108,91.5909825906,,108,91.2821518596,
2015+AC0-06+AC0-15,82.510002,,109,92.1401103288,,109,91.8274083086,
2015+AC0-06+AC0-22,88.010002,,110,92.6891290166,,110,92.3726647576,
2015+AC0-06+AC0-29,87.290001,,111,93.238038654,,111,92.9179212066,
2015+AC0-07+AC0-06,87.949997,,112,93.786839241,,112,93.4631776556,
2015+AC0-07+AC0-13,94.970001,,113,94.3355307776,,113,94.0084341046,
2015+AC0-07+AC0-20,96.949997,,114,94.8841132638,,114,94.5536905536,
2015+AC0-07+AC0-27,94.010002,,115,95.4325866996,,115,95.0989470026,
2015+AC0-08+AC0-03,94.300003,,116,95.980951085,,116,95.6442034516,
2015+AC0-08+AC0-10,94.419998,,117,96.52920642,,117,96.1894599006,
2015+AC0-08+AC0-17,86.059998,,118,97.0773527046,,118,96.7347163496,
2015+AC0-08+AC0-24,91.010002,,119,97.6253899388,,119,97.2799727986,
2015+AC0-08+AC0-31,88.260002,,120,98.1733181226,,120,97.8252292476,
2015+AC0-09+AC0-07,92.050003,,121,98.721137256,,121,98.3704856966,
2015+AC0-09+AC0-14,94.400002,,122,99.268847339,,122,98.9157421456,
2015+AC0-09+AC0-21,92.769997,,123,99.8164483716,,123,99.4609985946,
2015+AC0-09+AC0-28,92.07,,124,100.3639403538,,124,100.0062550436,
2015+AC0-10+AC0-05,93.239998,,125,100.9113232856,,125,100.5515114926,
2015+AC0-10+AC0-12,97.540001,,126,101.458597167,,126,101.0967679416,
2015+AC0-10+AC0-19,102.190002,,127,102.005761998,,127,101.6420243906,
2015+AC0-10+AC0-26,101.970001,,128,102.5528177786,,128,102.1872808396,
2015+AC0-11+AC0-02,107.099998,,129,103.0997645088,,129,102.7325372886,
2015+AC0-11+AC0-09,103.949997,,130,103.6466021886,,130,103.2777937376,
2015+AC0-11+AC0-16,107.32,,131,104.193330818,,131,103.8230501866,
2015+AC0-11+AC0-23,105.449997,,132,104.739950397,,132,104.3683066356,
2015+AC0-11+AC0-30,106.18,,133,105.2864609256,,133,104.9135630846,
2015+AC0-12+AC0-07,102.120003,,134,105.8328624038,,134,105.4588195336,
2015+AC0-12+AC0-14,104.040001,,135,106.3791548316,,135,106.0040759826,
2015+AC0-12+AC0-21,105.019997,,136,106.925338209,,136,106.5493324316,
2015+AC0-12+AC0-28,104.660004,,137,107.471412536,,137,107.0945888806,
2016+AC0-01+AC0-04,97.330002,,138,108.0173778126,,138,107.6398453296,
2016+AC0-01+AC0-11,94.970001,,139,108.5632340388,,139,108.1851017786,
2016+AC0-01+AC0-18,97.940002,,140,109.1089812146,,140,108.7303582276,
2016+AC0-01+AC0-25,112.209999,,141,109.65461934,,141,109.2756146766,
2016+AC0-02+AC0-01,104.07,,142,110.200148415,,142,109.8208711256,
2016+AC0-02+AC0-08,102.010002,,143,110.7455684396,,143,110.3661275746,
2016+AC0-02+AC0-15,104.57,,144,111.2908794138,,144,110.9113840236,
2016+AC0-02+AC0-22,107.919998,,145,111.8360813376,,145,111.4566404726,
2016+AC0-02+AC0-29,108.389999,,146,112.381174211,,146,112.0018969216,
2016+AC0-03+AC0-07,109.410004,,147,112.926158034,,147,112.5471533706,
2016+AC0-03+AC0-14,111.449997,,148,113.4710328066,,148,113.0924098196,
2016+AC0-03+AC0-21,113.050003,,149,114.0157985288,,149,113.6376662686,
2016+AC0-03+AC0-28,116.059998,,150,114.5604552006,,150,114.1829227176,
2016+AC0-04+AC0-04,110.629997,,151,115.105002822,,151,114.7281791666,
2016+AC0-04+AC0-11,109.639999,,152,115.649441393,,152,115.2734356156,
2016+AC0-04+AC0-18,110.559998,,153,116.1937709136,,153,115.8186920646,
2016+AC0-04+AC0-25,117.580002,,154,116.7379913838,,154,116.3639485136,
2016+AC0-05+AC0-02,119.489998,,155,117.2821028036,,155,116.9092049626,
2016+AC0-05+AC0-09,119.809998,,156,117.826105173,,156,117.4544614116,
2016+AC0-05+AC0-16,117.349998,,157,118.369998492,,157,117.9997178606,
2016+AC0-05+AC0-23,119.379997,,158,118.9137827606,,158,118.5449743096,
2016+AC0-05+AC0-30,118.470001,,159,119.4574579788,,159,119.0902307586,
2016+AC0-06+AC0-06,116.620003,,160,120.0010241466,,160,119.6354872076,
2016+AC0-06+AC0-13,113.019997,,161,120.544481264,,161,120.1807436566,
2016+AC0-06+AC0-20,112.080002,,162,121.087829331,,162,120.7260001056,
2016+AC0-06+AC0-27,114.190002,,163,121.6310683476,,163,121.2712565546,
2016+AC0-07+AC0-04,117.239998,,164,122.1741983138,,164,121.8165130036,
2016+AC0-07+AC0-11,116.860001,,165,122.7172192296,,165,122.3617694526,
2016+AC0-07+AC0-18,121,,166,123.260131095,,166,122.9070259016,
2016+AC0-07+AC0-25,123.940002,,167,123.80293391,,167,123.4522823506,
2016+AC0-08+AC0-01,125.150002,,168,124.3456276746,,168,123.9975387996,
2016+AC0-08+AC0-08,124.879997,,169,124.8882123888,,169,124.5427952486,
2016+AC0-08+AC0-15,123.559998,,170,125.4306880526,,170,125.0880516976,
2016+AC0-08+AC0-22,124.959999,,171,125.973054666,,171,125.6333081466,
2016+AC0-08+AC0-29,126.510002,,172,126.515312229,,172,126.1785645956,
2016+AC0-09+AC0-05,127.099998,,173,127.0574607416,,173,126.7238210446,
2016+AC0-09+AC0-12,129.070007,,174,127.5995002038,,174,127.2690774936,
2016+AC0-09+AC0-19,127.959999,,175,128.1414306156,,175,127.8143339426,
2016+AC0-09+AC0-26,128.270004,,176,128.683251977,,176,128.3595903916,
2016+AC0-10+AC0-03,128.990005,,177,129.224964288,,177,128.9048468406,
2016+AC0-10+AC0-10,127.879997,,178,129.7665675486,,178,129.4501032896,
2016+AC0-10+AC0-17,132.070007,,179,130.3080617588,,179,129.9953597386,
2016+AC0-10+AC0-24,131.289993,,180,130.8494469186,,180,130.5406161876,
2016+AC0-10+AC0-31,120.75,,181,131.390723028,,181,131.0858726366,
2016+AC0-11+AC0-07,119.019997,,182,131.931890087,,182,131.6311290856,
2016+AC0-11+AC0-14,117.019997,,183,132.4729480956,,183,132.1763855346,
2016+AC0-11+AC0-21,120.379997,,184,133.0138970538,,184,132.7216419836,
2016+AC0-11+AC0-28,115.400002,,185,133.5547369616,,185,133.2668984326,
2016+AC0-12+AC0-05,119.68,,186,134.095467819,,186,133.8121548816,
2016+AC0-12+AC0-12,119.870003,,187,134.636089626,,187,134.3574113306,
2016+AC0-12+AC0-19,117.269997,,188,135.1766023826,,188,134.9026677796,
2016+AC0-12+AC0-26,115.050003,,189,135.7170060888,,189,135.4479242286,
2017+AC0-01+AC0-02,123.410004,,190,136.2573007446,,190,135.9931806776,
2017+AC0-01+AC0-09,128.339996,,191,136.79748635,,191,136.5384371266,
2017+AC0-01+AC0-16,127.040001,,192,137.337562905,,192,137.0836935756,
2017+AC0-01+AC0-23,132.179993,,193,137.8775304096,,193,137.6289500246,
2017+AC0-01+AC0-30,130.979996,,194,138.4173888638,,194,138.1742064736,
2017+AC0-02+AC0-06,134.190002,,195,138.9571382676,,195,138.7194629226,
2017+AC0-02+AC0-13,133.529999,,196,139.496778621,,196,139.2647193716,
2017+AC0-02+AC0-20,135.440002,,197,140.036309924,,197,139.8099758206,
2017+AC0-02+AC0-27,137.169998,,198,140.5757321766,,198,140.3552322696,
2017+AC0-03+AC0-06,138.789993,,199,141.1150453788,,199,140.9004887186,
2017+AC0-03+AC0-13,139.839996,,200,141.6542495306,,200,141.4457451676,
2017+AC0-03+AC0-20,140.339996,,201,142.193344632,,201,141.9910016166,
2017+AC0-03+AC0-27,142.050003,,202,142.732330683,,202,142.5362580656,
2017+AC0-04+AC0-03,140.779999,,203,143.2712076836,,203,143.0815145146,
2017+AC0-04+AC0-10,139.389999,,204,143.8099756338,,204,143.6267709636,
2017+AC0-04+AC0-17,143.679993,,205,144.3486345336,,205,144.1720274126,
2017+AC0-04+AC0-24,150.25,,206,144.887184383,,206,144.7172838616,
2017+AC0-05+AC0-01,150.240005,,207,145.425625182,,207,145.2625403106,
2017+AC0-05+AC0-08,150.330002,,208,145.9639569306,,208,145.8077967596,
2017+AC0-05+AC0-15,148.059998,,209,146.5021796288,,209,146.3530532086,
2017+AC0-05+AC0-22,152.130005,,210,147.0402932766,,210,146.8983096576,
2017+AC0-05+AC0-29,153.610001,,211,147.578297874,,211,147.4435661066,
2017+AC0-06+AC0-05,149.600006,,212,148.116193421,,212,147.9888225556,
2017+AC0-06+AC0-12,150.639999,,213,148.6539799176,,213,148.5340790046,
2017+AC0-06+AC0-19,155.070007,,214,149.1916573638,,214,149.0793354536,
2017+AC0-06+AC0-26,150.979996,,215,149.7292257596,,215,149.6245919026,
2017+AC0-07+AC0-03,151.440002,,216,150.266685105,,216,150.1698483516,
2017+AC0-07+AC0-10,159.970001,,217,150.8040354,,217,150.7151048006,
2017+AC0-07+AC0-17,164.429993,,218,151.3412766446,,218,151.2603612496,
2017+AC0-07+AC0-24,172.449997,,219,151.8784088388,,219,151.8056176986,
2017+AC0-07+AC0-31,169.619995,,220,152.4154319826,,220,152.3508741476,
2017+AC0-08+AC0-07,168.080002,,221,152.952346076,,221,152.8961305966,
2017+AC0-08+AC0-14,167.410004,,222,153.489151119,,222,153.4413870456,
2017+AC0-08+AC0-21,166.320007,,223,154.0258471116,,223,153.9866434946,
2017+AC0-08+AC0-28,172.020004,,224,154.5624340538,,224,154.5318999436,
2017+AC0-09+AC0-04,170.949997,,225,155.0989119456,,225,155.0771563926,
2017+AC0-09+AC0-11,171.639999,,226,155.635280787,,226,155.6224128416,
2017+AC0-09+AC0-18,170.539993,,227,156.171540578,,227,156.1676692906,
2017+AC0-09+AC0-25,170.869995,,228,156.7076913186,,228,156.7129257396,
2017+AC0-10+AC0-02,172.229996,,229,157.2437330088,,229,157.2581821886,
2017+AC0-10+AC0-09,173.740005,,230,157.7796656486,,230,157.8034386376,
2017+AC0-10+AC0-16,174.979996,,231,158.315489238,,231,158.3486950866,
2017+AC0-10+AC0-23,177.880005,,232,158.851203777,,232,158.8939515356,
2017+AC0-10+AC0-30,178.919998,,233,159.3868092656,,233,159.4392079846,
2017+AC0-11+AC0-06,178.460007,,234,159.9223057038,,234,159.9844644336,
2017+AC0-11+AC0-13,179,,235,160.4576930916,,235,160.5297208826,
2017+AC0-11+AC0-20,182.779999,,236,160.992971429,,236,161.0749773316,
2017+AC0-11+AC0-27,175.100006,,237,161.528140716,,237,161.6202337806,
2017+AC0-12+AC0-04,179,,238,162.0632009526,,238,162.1654902296,
2017+AC0-12+AC0-11,180.179993,,239,162.5981521388,,239,162.7107466786,
2017+AC0-12+AC0-18,177.199997,,240,163.1329942746,,240,163.2560031276,
2017+AC0-12+AC0-25,176.460007,,241,163.66772736,,241,163.8012595766,
2018+AC0-01+AC0-01,186.850006,,242,164.202351395,,242,164.3465160256,
2018+AC0-01+AC0-08,179.369995,,243,164.7368663796,,243,164.8917724746,
2018+AC0-01+AC0-15,181.289993,,244,165.2712723138,,244,165.4370289236,
2018+AC0-01+AC0-22,190,,245,165.8055691976,,245,165.9822853726,
2018+AC0-01+AC0-29,190.279999,,246,166.339757031,,246,166.5275418216,
2018+AC0-02+AC0-05,176.110001,,247,166.873835814,,247,167.0727982706,
2018+AC0-02+AC0-12,177.360001,,248,167.4078055466,,248,167.6180547196,
2018+AC0-02+AC0-19,183.289993,,249,167.9416662288,,249,168.1633111686,
2018+AC0-02+AC0-26,176.619995,,250,168.4754178606,,250,168.7085676176,
2018+AC0-03+AC0-05,185.229996,,251,169.009060442,,251,169.2538240666,
2018+AC0-03+AC0-12,185.089996,,252,169.542593973,,252,169.7990805156,
2018+AC0-03+AC0-19,159.389999,,253,170.0760184536,,253,170.3443369646,
2018+AC0-03+AC0-26,159.789993,,254,170.6093338838,,254,170.8895934136,
2018+AC0-04+AC0-02,157.199997,,255,171.1425402636,,255,171.4348498626,
2018+AC0-04+AC0-09,164.520004,,256,171.675637593,,256,171.9801063116,
2018+AC0-04+AC0-16,166.279999,,257,172.208625872,,257,172.5253627606,
2018+AC0-04+AC0-23,173.589996,,258,172.7415051006,,258,173.0706192096,
2018+AC0-04+AC0-30,176.610001,,259,173.2742752788,,259,173.6158756586,
2018+AC0-05+AC0-07,186.990005,,260,173.8069364066,,260,174.1611321076,
2018+AC0-05+AC0-14,182.679993,,261,174.339488484,,261,174.7063885566,
2018+AC0-05+AC0-21,184.919998,,262,174.871931511,,262,175.2516450056,
2018+AC0-05+AC0-28,193.990005,,263,175.4042654876,,263,175.7969014546,
2018+AC0-06+AC0-04,189.100006,,264,175.9364904138,,264,176.3421579036,
2018+AC0-06+AC0-11,195.850006,,265,176.4686062896,,265,176.8874143526,
2018+AC0-06+AC0-18,201.740005,,266,177.000613115,,266,177.4326708016,
2018+AC0-06+AC0-25,194.320007,,267,177.53251089,,267,177.9779272506,
2018+AC0-07+AC0-02,203.229996,,268,178.0642996146,,268,178.5231836996,
2018+AC0-07+AC0-09,207.320007,,269,178.5959792888,,269,179.0684401486,
2018+AC0-07+AC0-16,209.940002,,270,179.1275499126,,270,179.6136965976,
2018+AC0-07+AC0-23,174.889999,,271,179.659011486,,271,180.1589530466,
2018+AC0-07+AC0-30,177.779999,,272,180.190364009,,272,180.7042094956,
2018+AC0-08+AC0-06,180.259995,,273,180.7216074816,,273,181.2494659446,
2018+AC0-08+AC0-13,173.800003,,274,181.2527419038,,274,181.7947223936,
2018+AC0-08+AC0-20,174.649994,,275,181.7837672756,,275,182.3399788426,
2018+AC0-08+AC0-27,175.729996,,276,182.314683597,,276,182.8852352916,
2018+AC0-09+AC0-03,163.039993,,277,182.845490868,,277,183.4304917406,
2018+AC0-09+AC0-10,162.320007,,278,183.3761890886,,278,183.9757481896,
2018+AC0-09+AC0-17,162.929993,,279,183.9067782588,,279,184.5210046386,
2018+AC0-09+AC0-24,164.460007,,280,184.4372583786,,280,185.0662610876,
2018+AC0-10+AC0-01,157.330002,,281,184.967629448,,281,185.6115175366,
2018+AC0-10+AC0-08,153.740005,,282,185.497891467,,282,186.1567739856,
2018+AC0-10+AC0-15,154.050003,,283,186.0280444356,,283,186.7020304346,
2018+AC0-10+AC0-22,145.369995,,284,186.5580883538,,284,187.2472868836,
2018+AC0-10+AC0-29,150.350006,,285,187.0880232216,,285,187.7925433326,
2018+AC0-11+AC0-05,144.960007,,286,187.617849039,,286,188.3377997816,
2018+AC0-11+AC0-12,144.220001,,287,188.147565806,,287,188.8830562306,
